"column_name","data_type","is_nullable","column_default"
"mp3_roof_type","text","YES",NULL
"mp3_stories","integer","YES",NULL
"mp3_pitch","integer","YES",NULL
"mp3_azimuth","integer","YES",NULL
"mp3_tilt_mount_azimuth","integer","YES",NULL
"mp3_tilt_mount_pitch","integer","YES",NULL
"mp4_roof_type","text","YES",NULL
"mp4_stories","integer","YES",NULL
"mp4_pitch","integer","YES",NULL
"mp4_azimuth","integer","YES",NULL
"mp4_tilt_mount_azimuth","integer","YES",NULL
"mp4_tilt_mount_pitch","integer","YES",NULL
"mp5_roof_type","text","YES",NULL
"mp5_stories","integer","YES",NULL
"mp5_pitch","integer","YES",NULL
"mp5_azimuth","integer","YES",NULL
"mp5_tilt_mount_azimuth","integer","YES",NULL
"mp5_tilt_mount_pitch","integer","YES",NULL
"mp6_roof_type","text","YES",NULL
"mp6_stories","integer","YES",NULL
"mp6_pitch","integer","YES",NULL
"mp6_azimuth","integer","YES",NULL
"mp6_tilt_mount_azimuth","integer","YES",NULL
"mp6_tilt_mount_pitch","integer","YES",NULL
"mp7_roof_type","text","YES",NULL
"mp7_stories","integer","YES",NULL
"mp7_pitch","integer","YES",NULL
"mp7_azimuth","integer","YES",NULL
"mp7_tilt_mount_azimuth","integer","YES",NULL
"mp7_tilt_mount_pitch","integer","YES",NULL
"mp8_roof_type","text","YES",NULL
"mp8_stories","integer","YES",NULL
"mp8_pitch","integer","YES",NULL
"mp8_azimuth","integer","YES",NULL
"mp8_tilt_mount_azimuth","integer","YES",NULL
"mp8_tilt_mount_pitch","integer","YES",NULL
"mp9_roof_type","text","YES",NULL
"mp9_stories","integer","YES",NULL
"mp9_pitch","integer","YES",NULL
"mp9_azimuth","integer","YES",NULL
"mp9_tilt_mount_azimuth","integer","YES",NULL
"mp9_tilt_mount_pitch","integer","YES",NULL
"mp10_roof_type","text","YES",NULL
"mp10_stories","integer","YES",NULL
"mp10_pitch","integer","YES",NULL
"mp10_azimuth","integer","YES",NULL
"mp10_tilt_mount_azimuth","integer","YES",NULL
"mp10_tilt_mount_pitch","integer","YES",NULL
"sys1_ap_hoy_wire_gauge","text","YES",NULL
"sys1_ap_hoy_breaker_size","text","YES",NULL
"sys2_ap_hoy_wire_gauge","text","YES",NULL
"sys2_ap_hoy_breaker_size","text","YES",NULL
"sys3_ap_hoy_wire_gauge","text","YES",NULL
"sys3_ap_hoy_breaker_size","text","YES",NULL
"sys4_ap_hoy_wire_gauge","text","YES",NULL
"sys4_ap_hoy_breaker_size","text","YES",NULL
"bsp_backup_feeder_location","text","YES",NULL
"spb_subpanel_b_feeder_location","text","YES",NULL
"mpa_bus_bar_existing","boolean","YES",NULL
"mpa_main_circuit_breaker_existing","boolean","YES",NULL
"mpa_mainpanela_acunit_amps","text","YES",NULL
"mpa_mainpanela_furnace_amps","text","YES",NULL
"bsp_backupload_mcbexisting","boolean","YES",NULL
"spb_subpanelb_mcbexisting","boolean","YES",NULL
"ele_utility_meter_behind_fence","boolean","YES",NULL
"ele_combine_positions","text","YES",NULL
"precombine_1_1_equipment_type","text","YES",NULL
"precombine_1_1_existing","boolean","YES",NULL
"precombine_1_1_make","text","YES",NULL
"precombine_1_1_model","text","YES",NULL
"precombine_1_1_equipment_master_id","uuid","YES",NULL
"precombine_2_1_equipment_type","text","YES",NULL
"precombine_2_1_existing","boolean","YES",NULL
"precombine_2_1_make","text","YES",NULL
"precombine_2_1_model","text","YES",NULL
"precombine_2_1_equipment_master_id","uuid","YES",NULL
"precombine_3_1_equipment_type","text","YES",NULL
"precombine_3_1_existing","boolean","YES",NULL
"precombine_3_1_make","text","YES",NULL
"precombine_3_1_model","text","YES",NULL
"precombine_3_1_equipment_master_id","uuid","YES",NULL
"postcombine_1_1_equipment_type","text","YES",NULL
"postcombine_1_1_existing","boolean","YES",NULL
"postcombine_1_1_make","text","YES",NULL
"postcombine_1_1_model","text","YES",NULL
"postcombine_1_1_equipment_master_id","uuid","YES",NULL
"postcombine_2_1_equipment_type","text","YES",NULL
"postcombine_2_1_existing","boolean","YES",NULL
"postcombine_2_1_make","text","YES",NULL
"postcombine_2_1_model","text","YES",NULL
"postcombine_2_1_equipment_master_id","uuid","YES",NULL
"postcombine_3_1_equipment_type","text","YES",NULL
"postcombine_3_1_existing","boolean","YES",NULL
"postcombine_3_1_make","text","YES",NULL
"postcombine_3_1_model","text","YES",NULL
"postcombine_3_1_equipment_master_id","uuid","YES",NULL
"precombine_1_2_equipment_type","text","YES",NULL
"precombine_1_2_existing","boolean","YES",NULL
"precombine_1_2_make","text","YES",NULL
"precombine_1_2_model","text","YES",NULL
"precombine_1_2_equipment_master_id","uuid","YES",NULL
"precombine_2_2_equipment_type","text","YES",NULL
"precombine_2_2_existing","boolean","YES",NULL
"precombine_2_2_make","text","YES",NULL
"precombine_2_2_model","text","YES",NULL
"precombine_2_2_equipment_master_id","uuid","YES",NULL
"precombine_3_2_equipment_type","text","YES",NULL
"precombine_3_2_existing","boolean","YES",NULL
"precombine_3_2_make","text","YES",NULL
"precombine_3_2_model","text","YES",NULL
"precombine_3_2_equipment_master_id","uuid","YES",NULL
"postcombine_1_2_equipment_type","text","YES",NULL
"postcombine_1_2_existing","boolean","YES",NULL
"postcombine_1_2_make","text","YES",NULL
"postcombine_1_2_model","text","YES",NULL
"postcombine_1_2_equipment_master_id","uuid","YES",NULL
"postcombine_2_2_equipment_type","text","YES",NULL
"postcombine_2_2_existing","boolean","YES",NULL
"postcombine_2_2_make","text","YES",NULL
"postcombine_2_2_model","text","YES",NULL
"postcombine_2_2_equipment_master_id","uuid","YES",NULL
"postcombine_3_2_equipment_type","text","YES",NULL
"postcombine_3_2_existing","boolean","YES",NULL
"postcombine_3_2_make","text","YES",NULL
"postcombine_3_2_model","text","YES",NULL
