id,uuid,equipment_type,current_manufacturer,new_manufacturer,model
9012,4d4e3e70-43e2-43b3-93a1-e43e7edeaa53,Solar Panel,LG Electronics,LG,LG260S1W-A3
9013,63af5c5b-af47-4799-966f-29db8f8a7cc9,Solar Panel,LG Electronics,LG,LG260S1W-G3
9014,b41bd188-ed66-41f5-a1ea-d10075651e39,Solar Panel,LG Electronics,LG,LG265N9K-G4
9015,8f7a4b2b-48ee-4995-824d-49d0309125a9,Solar Panel,LG Electronics,LG,LG260S1W-G2
9016,f95702fc-2b34-45f4-af08-e59d80ffdb58,Solar Panel,LG Electronics,LG,LG265S1C-A3
9017,2c26b36f-b765-4b61-b76a-b308497931dc,Solar Panel,LG Electronics,LG,LG265S1K-A3
9018,7b55977f-c53b-45cb-b7ab-de270e14a950,Solar Panel,LG Electronics,LG,LG265S1C-G3
9019,1b55da25-0a8e-479d-b7a2-f1803b39ca6d,Solar Panel,LG Electronics,LG,LG265S1C-B3
9020,fdbef13d-78e4-4c36-a160-5846dabe6dfc,Solar Panel,LG Electronics,LG,LG265S1K-B3
9021,734c0758-6f3e-4cef-bfef-6303fbb3ea93,Solar Panel,LG Electronics,LG,LG270N1C-G3
9022,9beeac13-8127-41c8-8143-4438685df171,Solar Panel,LG Electronics,LG,LG265S1W-B3
9023,80abcb14-4e8a-4739-90ba-0010337f0e16,Solar Panel,LG Electronics,LG,LG265S1W-A3
9024,4e7c57f1-e4a4-4566-b065-5c5dd21f6893,Solar Panel,LG Electronics,LG,LG265S1W-G3
9025,905ce6b4-8577-44c5-a93f-eae6a2cf2552,Solar Panel,LG Electronics,LG,LG270S1C-A3
9026,7983f25a-6b86-4f83-bc44-f76445fc6051,Solar Panel,LG Electronics,LG,LG270N1W-G3
9027,19e3ee90-4b89-4ffa-9d84-a7e2017075b8,Solar Panel,LG Electronics,LG,LG270N9K-G4
9028,f4ba38ab-9249-4407-a6a0-d2a295baf73a,Solar Panel,LG Electronics,LG,LG270S1C-B3
9029,de0267c5-d1fb-4e02-899f-c6af0256f5f0,Solar Panel,LG Electronics,LG,LG270S1C-G3
9030,5e495d86-c707-4392-820b-9a3fe458d78c,Solar Panel,LG Electronics,LG,LG270S1C-L4
9031,d1d30ada-07f2-4914-b243-fc1a399c10b7,Solar Panel,LG Electronics,LG,LG270S1K-B3
9032,456f73df-8e12-4ab7-ad18-f00b3ed7a390,Solar Panel,LG Electronics,LG,LG270S1C-G4
9033,75672fa1-ce2b-457b-bd20-e8aaaa50d8d4,Solar Panel,LG Electronics,LG,LG270S1W-G4
9034,111d46a3-1a14-4ea3-9ed0-8e9d4a0a502c,Solar Panel,LG Electronics,LG,LG270S1W-G3
9035,ab18bc32-83d5-42a0-ac64-2906d7fb5a4e,Solar Panel,LG Electronics,LG,LG270S1W-B3
9036,a5e61ce9-e404-4fff-bfeb-8d36f0dde11e,Solar Panel,LG Electronics,LG,LG270S1W-A3
9037,2d44f46e-18c4-49e6-907e-3cfee3b9d589,Solar Panel,LG Electronics,LG,LG270S1W-L4
9038,7900ad4a-d6eb-4abe-b41c-e5caeea6f6c8,Solar Panel,LG Electronics,LG,LG275N1K-B3
9039,900d576e-5a7d-4abc-9bae-3549065d32cf,Solar Panel,LG Electronics,LG,LG275N1K-A3
9040,a489562b-eb28-4f3e-81ee-ae6476e8bc5b,Solar Panel,LG Electronics,LG,LG275N1C-G3
9041,86aea455-617c-4afc-be4c-806b1c861dd5,Solar Panel,LG Electronics,LG,LG275S1C-G4
9042,eb5809af-e73a-4a19-9a67-55e663175804,Solar Panel,LG Electronics,LG,LG275S1C-B3
9043,66234f69-bdfd-4981-914d-7c9ed17431d2,Solar Panel,LG Electronics,LG,LG275N9K-G4
9044,0d662c06-c5ef-4c49-bfb4-0fa30fbb41a6,Solar Panel,LG Electronics,LG,LG275N1W-G3
